JobID,Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords,text,clean
NET-F-001,.NET Developer,Fresher,0-1,C#; VB.NET basics; .NET Framework; .NET Core fundamentals; ASP.NET; MVC; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; LINQ; Visual Studio; Git; Unit Testing basics,Assist in coding and debugging applications; Learn and apply .NET Framework and Core fundamentals; Support team in building ASP.NET MVC web applications; Write basic SQL queries and work with Entity Framework; Collaborate with peers to solve issues; Participate in code reviews for learning; Follow best practices in coding; Work with version control (Git),.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; LINQ; Visual Studio; Unit Testing,.NET Developer C#; VB.NET basics; .NET Framework; .NET Core fundamentals; ASP.NET; MVC; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; LINQ; Visual Studio; Git; Unit Testing basics Assist in coding and debugging applications; Learn and apply .NET Framework and Core fundamentals; Support team in building ASP.NET MVC web applications; Write basic SQL queries and work with Entity Framework; Collaborate with peers to solve issues; Participate in code reviews for learning; Follow best practices in coding; Work with version control (Git) .NET; C#; ASP.NET MVC; Entity Framework; SQL Server; LINQ; Visual Studio; Unit Testing,net developer c vb net basic net framework net core fundamental asp net mvc html css javascript basic sql server entity framework basic linq visual studio git unit test basic assist cod debug application learn apply net framework core fundamental support team build asp net mvc web application write basic sql query work entity framework collaborate peer solve issue participate code review learn follow good practice cod work version control git net c asp net mvc entity framework sql server linq visual studio unit testing
NET-F-002,.NET Developer,Fresher,0-1,C#; .NET Framework basics; ASP.NET; Razor; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; NUnit basics,Write simple C# programs under guidance; Support development of ASP.NET MVC applications; Implement Razor views and front-end logic; Assist in database query writing; Participate in unit testing tasks; Learn and apply LINQ for data operations; Work with mentors for code corrections,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Razor; Unit Testing,.NET Developer C#; .NET Framework basics; ASP.NET; Razor; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; NUnit basics Write simple C# programs under guidance; Support development of ASP.NET MVC applications; Implement Razor views and front-end logic; Assist in database query writing; Participate in unit testing tasks; Learn and apply LINQ for data operations; Work with mentors for code corrections .NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Razor; Unit Testing,net developer c net framework basic asp net razor html css javascript basic sql server entity framework basic nunit basic write simple c program guidance support development asp net mvc application implement razor view end logic assist database query write participate unit testing task learn apply linq datum operation work mentor code correction net c asp net mvc entity framework sql server razor unit testing
NET-F-003,.NET Developer,Fresher,0-1,C#; VB.NET basics; .NET Core; ASP.NET MVC; HTML; CSS; JavaScript basics; SQL Server; Git,Contribute to development of small modules; Assist in bug fixing and debugging; Learn and implement MVC patterns; Support database integration tasks; Understand version control basics; Work on minor testing scripts; Follow coding standards,.NET; C#; ASP.NET MVC; SQL Server; Entity Framework; Git,.NET Developer C#; VB.NET basics; .NET Core; ASP.NET MVC; HTML; CSS; JavaScript basics; SQL Server; Git Contribute to development of small modules; Assist in bug fixing and debugging; Learn and implement MVC patterns; Support database integration tasks; Understand version control basics; Work on minor testing scripts; Follow coding standards .NET; C#; ASP.NET MVC; SQL Server; Entity Framework; Git,net developer c vb net basic net core asp net mvc html css javascript basic sql server git contribute development small module assist bug fixing debug learn implement mvc pattern support database integration task understand version control basic work minor testing script follow cod standard net c asp net mvc sql server entity framework git
NET-F-004,.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET basics; SQL Server; HTML; CSS; LINQ; Visual Studio,Support in software design documentation; Assist senior developers in testing; Create small UI components; Debug and test applications; Implement basic LINQ queries; Participate in code maintenance,.NET; C#; SQL Server; Entity Framework; ASP.NET,.NET Developer C#; .NET Framework; ASP.NET basics; SQL Server; HTML; CSS; LINQ; Visual Studio Support in software design documentation; Assist senior developers in testing; Create small UI components; Debug and test applications; Implement basic LINQ queries; Participate in code maintenance .NET; C#; SQL Server; Entity Framework; ASP.NET,net developer c net framework asp net basic sql server html css linq visual studio support software design documentation assist senior developer testing create small ui component debug test application implement basic linq query participate code maintenance net c sql server entity framework asp net
NET-F-005,.NET Developer,Fresher,0-1,C#; ASP.NET; MVC; Entity Framework basics; SQL Server; HTML; CSS; JavaScript basics,Learn to design and build ASP.NET applications; Assist in connecting apps to SQL Server; Work on UI development; Participate in daily standups; Write small unit test cases,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server,.NET Developer C#; ASP.NET; MVC; Entity Framework basics; SQL Server; HTML; CSS; JavaScript basics Learn to design and build ASP.NET applications; Assist in connecting apps to SQL Server; Work on UI development; Participate in daily standups; Write small unit test cases .NET; C#; ASP.NET MVC; Entity Framework; SQL Server,net developer c asp net mvc entity framework basic sql server html css javascript basic learn design build asp net application assist connect app sql server work ui development participate daily standup write small unit test case net c asp net mvc entity framework sql server
NET-F-006,.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET; Razor; SQL Server; Git; NUnit basics,Assist in Razor page development; Learn version control processes; Perform debugging under supervision; Support data access layer coding; Contribute to testing efforts,.NET; C#; ASP.NET; Razor; SQL Server; Unit Testing,.NET Developer C#; .NET Framework; ASP.NET; Razor; SQL Server; Git; NUnit basics Assist in Razor page development; Learn version control processes; Perform debugging under supervision; Support data access layer coding; Contribute to testing efforts .NET; C#; ASP.NET; Razor; SQL Server; Unit Testing,net developer c net framework asp net razor sql server git nunit basic assist razor page development learn version control process perform debug supervision support datum access layer cod contribute test effort net c asp net razor sql server unit testing
NET-F-007,.NET Developer,Fresher,0-1,C#; VB.NET; .NET Core basics; ASP.NET MVC; HTML; CSS; SQL Server; Visual Studio,Support team in MVC project development; Help in resolving minor bugs; Write basic SQL queries; Collaborate with developers for tasks; Participate in project discussions,.NET; C#; ASP.NET MVC; SQL Server,.NET Developer C#; VB.NET; .NET Core basics; ASP.NET MVC; HTML; CSS; SQL Server; Visual Studio Support team in MVC project development; Help in resolving minor bugs; Write basic SQL queries; Collaborate with developers for tasks; Participate in project discussions .NET; C#; ASP.NET MVC; SQL Server,net developer c vb net net core basic asp net mvc html css sql server visual studio support team mvc project development help resolve minor bug write basic sql query collaborate developer task participate project discussion net c asp net mvc sql server
NET-F-008,.NET Developer,Fresher,0-1,C#; .NET Framework basics; ASP.NET MVC; Entity Framework basics; SQL Server; LINQ,Assist in building backend modules; Learn and apply Entity Framework; Help in writing LINQ queries; Support bug fixing; Write basic documentation,.NET; C#; ASP.NET MVC; Entity Framework; LINQ; SQL Server,.NET Developer C#; .NET Framework basics; ASP.NET MVC; Entity Framework basics; SQL Server; LINQ Assist in building backend modules; Learn and apply Entity Framework; Help in writing LINQ queries; Support bug fixing; Write basic documentation .NET; C#; ASP.NET MVC; Entity Framework; LINQ; SQL Server,net developer c net framework basic asp net mvc entity framework basic sql server linq assist build backend module learn apply entity framework help write linq query support bug fixing write basic documentation net c asp net mvc entity framework linq sql server
NET-F-009,.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET; HTML; CSS; SQL Server,Write simple ASP.NET pages; Collaborate with design team; Assist in database operations; Perform code reviews with seniors; Learn about MVC patterns,.NET; C#; ASP.NET; SQL Server,.NET Developer C#; .NET Framework; ASP.NET; HTML; CSS; SQL Server Write simple ASP.NET pages; Collaborate with design team; Assist in database operations; Perform code reviews with seniors; Learn about MVC patterns .NET; C#; ASP.NET; SQL Server,net developer c net framework asp net html css sql server write simple asp net page collaborate design team assist database operation perform code review senior learn mvc pattern net c asp net sql server
NET-F-010,.NET Developer,Fresher,0-1,C#; ASP.NET MVC; .NET Core basics; Entity Framework basics; SQL Server; Git,Support new feature development; Assist with application configuration; Help in database schema setup; Perform small unit testing tasks; Follow agile methodology basics,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Git,.NET Developer C#; ASP.NET MVC; .NET Core basics; Entity Framework basics; SQL Server; Git Support new feature development; Assist with application configuration; Help in database schema setup; Perform small unit testing tasks; Follow agile methodology basics .NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Git,net developer c asp net mvc net core basic entity framework basic sql server git support new feature development assist application configuration help database schema setup perform small unit testing task follow agile methodology basic net c asp net mvc entity framework sql server git
