JobID,Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords,text,clean
NET-F-001,.NET Developer,Fresher,0-1,C#; VB.NET basics; .NET Framework; .NET Core fundamentals; ASP.NET; MVC; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; LINQ; Visual Studio; Git; Unit Testing basics,Assist in coding and debugging applications; Learn and apply .NET Framework and Core fundamentals; Support team in building ASP.NET MVC web applications; Write basic SQL queries and work with Entity Framework; Collaborate with peers to solve issues; Participate in code reviews for learning; Follow best practices in coding; Work with version control (Git),.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; LINQ; Visual Studio; Unit Testing,.NET Developer C#; VB.NET basics; .NET Framework; .NET Core fundamentals; ASP.NET; MVC; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; LINQ; Visual Studio; Git; Unit Testing basics Assist in coding and debugging applications; Learn and apply .NET Framework and Core fundamentals; Support team in building ASP.NET MVC web applications; Write basic SQL queries and work with Entity Framework; Collaborate with peers to solve issues; Participate in code reviews for learning; Follow best practices in coding; Work with version control (Git) .NET; C#; ASP.NET MVC; Entity Framework; SQL Server; LINQ; Visual Studio; Unit Testing,.net developer c#; vb.net basics; .net framework; .net core fundamentals; asp.net; mvc; html; css; javascript basics; sql server; entity framework basics; linq; visual studio; git; unit testing basics assist in coding and debugging applications; learn and apply .net framework and core fundamentals; support team in building asp.net mvc web applications; write basic sql queries and work with entity framework; collaborate with peers to solve issues; participate in code reviews for learning; follow best practices in coding; work with version control (git) .net; c#; asp.net mvc; entity framework; sql server; linq; visual studio; unit testing
NET-F-002,.NET Developer,Fresher,0-1,C#; .NET Framework basics; ASP.NET; Razor; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; NUnit basics,Write simple C# programs under guidance; Support development of ASP.NET MVC applications; Implement Razor views and front-end logic; Assist in database query writing; Participate in unit testing tasks; Learn and apply LINQ for data operations; Work with mentors for code corrections,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Razor; Unit Testing,.NET Developer C#; .NET Framework basics; ASP.NET; Razor; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; NUnit basics Write simple C# programs under guidance; Support development of ASP.NET MVC applications; Implement Razor views and front-end logic; Assist in database query writing; Participate in unit testing tasks; Learn and apply LINQ for data operations; Work with mentors for code corrections .NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Razor; Unit Testing,.net developer c#; .net framework basics; asp.net; razor; html; css; javascript basics; sql server; entity framework basics; nunit basics write simple c# programs under guidance; support development of asp.net mvc applications; implement razor views and front-end logic; assist in database query writing; participate in unit testing tasks; learn and apply linq for data operations; work with mentors for code corrections .net; c#; asp.net mvc; entity framework; sql server; razor; unit testing
NET-F-003,.NET Developer,Fresher,0-1,C#; VB.NET basics; .NET Core; ASP.NET MVC; HTML; CSS; JavaScript basics; SQL Server; Git,Contribute to development of small modules; Assist in bug fixing and debugging; Learn and implement MVC patterns; Support database integration tasks; Understand version control basics; Work on minor testing scripts; Follow coding standards,.NET; C#; ASP.NET MVC; SQL Server; Entity Framework; Git,.NET Developer C#; VB.NET basics; .NET Core; ASP.NET MVC; HTML; CSS; JavaScript basics; SQL Server; Git Contribute to development of small modules; Assist in bug fixing and debugging; Learn and implement MVC patterns; Support database integration tasks; Understand version control basics; Work on minor testing scripts; Follow coding standards .NET; C#; ASP.NET MVC; SQL Server; Entity Framework; Git,.net developer c#; vb.net basics; .net core; asp.net mvc; html; css; javascript basics; sql server; git contribute to development of small modules; assist in bug fixing and debugging; learn and implement mvc patterns; support database integration tasks; understand version control basics; work on minor testing scripts; follow coding standards .net; c#; asp.net mvc; sql server; entity framework; git
NET-F-004,.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET basics; SQL Server; HTML; CSS; LINQ; Visual Studio,Support in software design documentation; Assist senior developers in testing; Create small UI components; Debug and test applications; Implement basic LINQ queries; Participate in code maintenance,.NET; C#; SQL Server; Entity Framework; ASP.NET,.NET Developer C#; .NET Framework; ASP.NET basics; SQL Server; HTML; CSS; LINQ; Visual Studio Support in software design documentation; Assist senior developers in testing; Create small UI components; Debug and test applications; Implement basic LINQ queries; Participate in code maintenance .NET; C#; SQL Server; Entity Framework; ASP.NET,.net developer c#; .net framework; asp.net basics; sql server; html; css; linq; visual studio support in software design documentation; assist senior developers in testing; create small ui components; debug and test applications; implement basic linq queries; participate in code maintenance .net; c#; sql server; entity framework; asp.net
NET-F-005,.NET Developer,Fresher,0-1,C#; ASP.NET; MVC; Entity Framework basics; SQL Server; HTML; CSS; JavaScript basics,Learn to design and build ASP.NET applications; Assist in connecting apps to SQL Server; Work on UI development; Participate in daily standups; Write small unit test cases,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server,.NET Developer C#; ASP.NET; MVC; Entity Framework basics; SQL Server; HTML; CSS; JavaScript basics Learn to design and build ASP.NET applications; Assist in connecting apps to SQL Server; Work on UI development; Participate in daily standups; Write small unit test cases .NET; C#; ASP.NET MVC; Entity Framework; SQL Server,.net developer c#; asp.net; mvc; entity framework basics; sql server; html; css; javascript basics learn to design and build asp.net applications; assist in connecting apps to sql server; work on ui development; participate in daily standups; write small unit test cases .net; c#; asp.net mvc; entity framework; sql server
NET-F-006,.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET; Razor; SQL Server; Git; NUnit basics,Assist in Razor page development; Learn version control processes; Perform debugging under supervision; Support data access layer coding; Contribute to testing efforts,.NET; C#; ASP.NET; Razor; SQL Server; Unit Testing,.NET Developer C#; .NET Framework; ASP.NET; Razor; SQL Server; Git; NUnit basics Assist in Razor page development; Learn version control processes; Perform debugging under supervision; Support data access layer coding; Contribute to testing efforts .NET; C#; ASP.NET; Razor; SQL Server; Unit Testing,.net developer c#; .net framework; asp.net; razor; sql server; git; nunit basics assist in razor page development; learn version control processes; perform debugging under supervision; support data access layer coding; contribute to testing efforts .net; c#; asp.net; razor; sql server; unit testing
NET-F-007,.NET Developer,Fresher,0-1,C#; VB.NET; .NET Core basics; ASP.NET MVC; HTML; CSS; SQL Server; Visual Studio,Support team in MVC project development; Help in resolving minor bugs; Write basic SQL queries; Collaborate with developers for tasks; Participate in project discussions,.NET; C#; ASP.NET MVC; SQL Server,.NET Developer C#; VB.NET; .NET Core basics; ASP.NET MVC; HTML; CSS; SQL Server; Visual Studio Support team in MVC project development; Help in resolving minor bugs; Write basic SQL queries; Collaborate with developers for tasks; Participate in project discussions .NET; C#; ASP.NET MVC; SQL Server,.net developer c#; vb.net; .net core basics; asp.net mvc; html; css; sql server; visual studio support team in mvc project development; help in resolving minor bugs; write basic sql queries; collaborate with developers for tasks; participate in project discussions .net; c#; asp.net mvc; sql server
NET-F-008,.NET Developer,Fresher,0-1,C#; .NET Framework basics; ASP.NET MVC; Entity Framework basics; SQL Server; LINQ,Assist in building backend modules; Learn and apply Entity Framework; Help in writing LINQ queries; Support bug fixing; Write basic documentation,.NET; C#; ASP.NET MVC; Entity Framework; LINQ; SQL Server,.NET Developer C#; .NET Framework basics; ASP.NET MVC; Entity Framework basics; SQL Server; LINQ Assist in building backend modules; Learn and apply Entity Framework; Help in writing LINQ queries; Support bug fixing; Write basic documentation .NET; C#; ASP.NET MVC; Entity Framework; LINQ; SQL Server,.net developer c#; .net framework basics; asp.net mvc; entity framework basics; sql server; linq assist in building backend modules; learn and apply entity framework; help in writing linq queries; support bug fixing; write basic documentation .net; c#; asp.net mvc; entity framework; linq; sql server
NET-F-009,.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET; HTML; CSS; SQL Server,Write simple ASP.NET pages; Collaborate with design team; Assist in database operations; Perform code reviews with seniors; Learn about MVC patterns,.NET; C#; ASP.NET; SQL Server,.NET Developer C#; .NET Framework; ASP.NET; HTML; CSS; SQL Server Write simple ASP.NET pages; Collaborate with design team; Assist in database operations; Perform code reviews with seniors; Learn about MVC patterns .NET; C#; ASP.NET; SQL Server,.net developer c#; .net framework; asp.net; html; css; sql server write simple asp.net pages; collaborate with design team; assist in database operations; perform code reviews with seniors; learn about mvc patterns .net; c#; asp.net; sql server
NET-F-010,.NET Developer,Fresher,0-1,C#; ASP.NET MVC; .NET Core basics; Entity Framework basics; SQL Server; Git,Support new feature development; Assist with application configuration; Help in database schema setup; Perform small unit testing tasks; Follow agile methodology basics,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Git,.NET Developer C#; ASP.NET MVC; .NET Core basics; Entity Framework basics; SQL Server; Git Support new feature development; Assist with application configuration; Help in database schema setup; Perform small unit testing tasks; Follow agile methodology basics .NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Git,.net developer c#; asp.net mvc; .net core basics; entity framework basics; sql server; git support new feature development; assist with application configuration; help in database schema setup; perform small unit testing tasks; follow agile methodology basics .net; c#; asp.net mvc; entity framework; sql server; git
